Comment,Designator,Footprint,LCSC number,,
Battery_Cell,"BT1,BT3",battery-custom-connector,C173752,,
4.7n,"C7,C8",C_0805_2012Metric,C1744,,
1uF,"C6,C4,C3,C5",C_0805_2012Metric,C28323,,
SR05,"D93,D92",SOT-143,C384891,,
500ma,"F2,F1",Fuse_1206_3216Metric,C70076,,
AO3401A,"Q2,Q1",SOT-23,C306862,,
5.1k,"R1,R7,R2,R8",R_0805_2012Metric,C27834,,
10k,"R3,R5,R6,R4",R_0805_2012Metric,C17414,,
1k,"R15,R16",R_0805_2012Metric,C17513,,
806k,"R13,R11",R_0805_2012Metric,C63494,,
2M,"R14,R12",R_0805_2012Metric,C26112,,
SW_SPDT,"SW95,SW94",SW_SPDT_PCM12,C109335,,
TP4054,"U3,U4",SOT-23-5,C32574,,
XC6206,"U2,U1",SOT-23,C5446,,
HRO-TYPE-C-31-M-12,"USB1,USB2",HRO-TYPE-C-31-M-12-HandSoldering,C165948,,
SW_SPST,"SW93,SW92",SW_SPST_TL3342,C92584,,
4.7uF,"C1,C2",C_0805_2012Metric,C1779,,
LED_Small,"D94,D95",D_0805_2012Metric,C2296,,
1N5819,"D90,D91",D_SOD-123,C169540,,
1M,"R9,R10",R_0805_2012Metric,C17514,,
D_Small,"D12,D61,D53,D52,D31,D49,D81,D39,D11,D15,D5,D4,D88,D44,D74,D50,D82,D19,D79,D18,D54,D25,D1,D63,D42,D83,D75,D76,D35,D27,D59,D57,D10,D20,D7,D45,D84,D29,D69,D9,D37,D60,D78,D3,D22,D73,D46,D87,D24,D70,D47,D43,D36,D55,D66,D71,D23,D8,D68,D40,D56,D85,D41,D16,D28,D2,D67,D26,D51,D58,D34,D30,D32,D77,D38,D17,D33,D80,D64,D6,D89,D72,D65,D13,D14,D62,D86,D48,D21",D_SOD-123,C64898,,